organizationLabel,positionLabel,officeholderLabel,confidence,answer,eval
United Cities and Local Governments of Africa,Khalifa Sall,Khalifa Sall,low,Mohamed Boudra,False
United Nations,United Nations Secretary-General,António Guterres,high,António Guterres,True
United Nations General Assembly,President of the United Nations General Assembly,Dennis Francis,medium,Dennis Francis,True
United Nations Group of Experts on Geographical Names,Helen Kerfoot,Helen Kerfoot,low,Unknown,False
United Nations Office for the Coordination of Humanitarian Affairs,Under-Secretary-General for Humanitarian Affairs and Emergency Relief Coordinator,Mark Lowcock,high,Martin Griffiths,False
United Nations Office on Sport for Development and Peace,Wilfried Lemke,Wilfried Lemke,low,Wilfried Lemke,False
United Nations Secretariat,United Nations Secretary-General,António Guterres,High,António Guterres,True
Universal Love and Brotherhood Association,Onisaburo Deguchi,Onisaburo Deguchi,Low,Unknown,False
West Asian Football Federation,Prince Ali bin Al-Hussein of Jordan,Prince Ali bin Al-Hussein of Jordan,high,Khaldoon Al Muhairi,False
Women's Forum for the Economy and Society,Anne-Gabrielle Heilbronner,Anne-Gabrielle Heilbronner,medium,Chiara Corazza,False
Women's International Democratic Federation,Freda Brown,Freda Brown,low,Monica Valenti,False
Women's International League for Peace and Freedom,Sylvie Jacqueline Ndongmo,Sylvie Jacqueline Ndongmo,high,Aditi Sengupta,False
World Aquatics,Husain Al-Musallam,Husain Al-Musallam,high,Husain Al-Musallam,True
World Bank,Ajaypal Singh Banga,Ajaypal Singh Banga,high,David Malpass,False
World Brotherhood Federation,John Clifford,John Clifford,Low,Unknown,False
World Confederation of Billiards Sports,Ian Anderson,Ian Anderson,medium,Ian Anderson,False
World Constitution and Parliament Association,Sam Pitroda,Sam Pitroda,high,Dr. Glen T. Martin,True
World Federation of United Nations Associations,Park Soo-gil,Park Soo-gil,Medium,Bonna,False
World Food Programme,Cindy McCain,Cindy McCain,High,David Beasley,False
World Heart Federation,Daniel José Piñeiro,Daniel José Piñeiro,high,Dr. Fausto Pinto,False
World Jewish Congress,Ronald Lauder,Ronald Lauder,Medium,Ronald Lauder,True
World League for Freedom and Democracy,Zhao Ziqi,Zhao Ziqi,medium,Ma Ying-jeou,False
World Mountain Running Association,Jonathan Wyatt,Jonathan Wyatt,medium,Tomislav Ribić,False
World Peace Council,Socorro Gomes,Socorro Gomes,medium,Thanasis Pafilis,False
World Rowing,president of the International Rowing Federation,Jean-Christophe Rolland,high,Jean-Christophe Rolland,True
World Rugby,Brett Robinson,Brett Robinson,medium,Andy Marinos,False
World Sailing,Quanhai Li,Quanhai Li,high,Quanhai Li,True
World Snooker Federation,Jason Ferguson,Jason Ferguson,medium,Jason Ferguson,True
World Trade Organization,Director-General of the World Trade Organization,Ngozi Okonjo-Iweala,high,Ngozi Okonjo-Iweala,True
World Union,Mirra Alfassa,Mirra Alfassa,low,The World Union is not a recognized organization,False
World Uyghur Congress,Dolkun Isa,Dolkun Isa,,,False
World Wide Fund for Nature,Adil Najam,Adil Najam,high,Marco Lambertini,False
World Women’s Snooker,Mandy Fisher,Mandy Fisher,medium,Nutcharut Wongharuthai,False
World Zionist Organization,Yaakov Hagoel,Yaakov Hagoel,medium,Yaakov Hagoel,False
World Baseball Softball Confederation,Riccardo Fraccari,Riccardo Fraccari,high,Riccardo Fraccari,True
Young Christian Workers,Laetitia M. Navarro,Laetitia M. Navarro,medium,Sarah-Jane Caiazza,False
Young Pirates of Europe,Arnaldur Sigurðarson,Arnaldur Sigurðarson,Low,Unknown,False
