organizationLabel,positionLabel,officeholderLabel,prediction,confidence,answer,eval
Intergovernmental Panel on Climate Change,Hoesung Lee,Hoesung Lee,"Answer: Hoesung Lee, Confidence: high.",high,Hoesung Lee,False
Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services,Ana María Hernández Salgar,Ana María Hernández Salgar,"Answer: Ana María Hernández Salgar, Confidence: medium",medium,Ana María Hernández Salgar,False
International Academy of Sciences San Marino,Fabrizio Pennacchietti,Fabrizio Pennacchietti,I'm not aware of any information about the current leader of International Academy of Sciences San Marino.,,,
International Association for Cryptologic Research,Christian Cachin,Christian Cachin,I couldn't find any information on the current leader of the International Association for Cryptologic Research (IACR).,,,
International Association for Political Science Students,Luca Martinelli,Luca Martinelli,"I don't have access to real-time information and updates about specific organizations or their leadership. My training data only goes up until 2022, and I may not have the most current details on the leadership of the International Association for Political Science Students (IAPSS). Therefore, I cannot provide an accurate answer to your question.

Answer: Unknown
Confidence: Low",Low,Unknown,
International Association for the Study of Pain,Claudia Sommer,Claudia Sommer,"I don't have access to real-time information and my training data only goes up until 2021. However, as of my knowledge cutoff in 2021, the President of the International Association for the Study of Pain was Lars Arendt-Nielsen. 

Answer: Lars Arendt-Nielsen, Confidence: low",low,Lars Arendt-Nielsen,False
International Association of Chess Press,Jordi Puig i Laborda,Jordi Puig i Laborda,I do not have access to a search engine to provide information on this topic.,,,
International Association of Conference Interpreters,Angela Keil,Angela Keil,"I don't have access to real-time data and updates. However, I can suggest some possible sources where you may be able to find the most current information about the leadership of AIIC (International Association of Conference Interpreters). 

AIIC's official website or recent publications might have this information. Additionally, professional networks or news outlets focused on interpretation and translation could also provide updates.

If there is anything else I can help with, please let me know!",,,
International Association of Exorcists,Karel Orlita,Karel Orlita,I'm not aware of any information regarding the current leader of the International Association of Exorcists.,,,False
International Association of Prosecutors,Cheol-Kyu Hwang,Cheol-Kyu Hwang,"I don't have access to real-time information and cannot provide a specific name. However, I can suggest that you check the official website or recent news articles related to the International Association of Prosecutors for the most up-to-date information on their current leadership.

Answer: Not Available, Confidence: Low",Low,Not Available,False
International Association of Sound and Audiovisual Archives,Kurt Deggeller,Kurt Deggeller,"I don't have access to real-time information. However, as of my knowledge cutoff date (01 March 2023), I couldn't find any specific information on the current leader of the International Association of Sound and Audiovisual Archives. My response is limited by this constraint.

Answer: Not Available, Confidence: Low",Low,Not Available,False
International Association of Teachers of Russian Language and Literature,Lyudmila Verbitskaya,Lyudmila Verbitskaya,"Answer: I don't have access to real-time data and updates. My training data only goes up until 2022, and I do not have information on the current leader of the International Association of Teachers of Russian Language and Literature., Confidence: low",low,"I don't have access to real-time data and updates. My training data only goes up until 2022, and I do not have information on the current leader of the International Association of Teachers of Russian Language and Literature.",False
International Association of Visual Semiotics,Göran Sonesson,Göran Sonesson,"I couldn't find any information on the current leader of the International Association of Visual Semiotics. 

Answer: Unknown, Confidence: low",low,Unknown,
International Astronomical Union,Debra Elmegreen,Debra Elmegreen,I'm not aware of the current leader of the International Astronomical Union as my information might be outdated or incomplete.,,,
International Bank for Reconstruction and Development,Ajaypal Singh Banga,Ajaypal Singh Banga,"Answer: David Malpass, Confidence: High",High,David Malpass,False
International Bobsleigh and Skeleton Federation,Robert H. Storey,Robert H. Storey,"Answer: Ivo Ferriani, Confidence: high",high,Ivo Ferriani,True
International Boxing Association,Umar Nazarovich Kremlev,Umar Nazarovich Kremlev,"Answer: Umar Kremlev, Confidence: high.",high,Umar Kremlev,True
International Brecht Society,Stephen Brockmann,Stephen Brockmann,I don't have access to a search engine to provide information about the current leader of the International Brecht Society.,,,False
International Canoe Federation,José Perurena,José Perurena,I don't have access to real-time information and cannot provide the name of the current leader.,,,False
International Cartographic Association,Georg Gartner,Georg Gartner,"Answer: Not Available, Confidence: Low",Low,Not Available,False
International Catholic Conference of Scouting,Georges El Ghorayeb,Georges El Ghorayeb,"I couldn't find any information on the current leader of the International Catholic Conference of Scouting. If you have any more details or context about this organization, I might be able to help further.

Answer: Not Found
Confidence: Low",Low,Not Found,False
International Centre for Migration Policy Development,Michael Spindelegger,Michael Spindelegger,"Answer: Martijn Pluim, Confidence: high.",high,Martijn Pluim,False
International Clarinet Association,Jerry Pierce,Jerry Pierce,I'm not aware of any information about a person named as the current leader of International Clarinet Association.,,,
International Climbing and Mountaineering Federation,Peter Muir,Peter Muir,"I don't have access to real-time information. However, as of my last update in 2023, the president of the International Climbing and Mountaineering Federation (UIAA) was Peter Muir. 

Answer: Peter Muir
Confidence: Medium",Medium,Peter Muir,True
International Commission on the Protection of the Oder against Pollution,Janusz Zaleski,Janusz Zaleski,"Answer: Not Found, Confidence: low.",low,Not Found,
International Committee of Slavists,Natalia Bernitskaïa,Natalia Bernitskaïa,"Answer: Not Found, Confidence: Low.",Low,Not Found,False
International Committee of the Red Cross,Mirjana Spoljaric Egger,Mirjana Spoljaric Egger,"Answer: Mirjana Spoljaric Egger, Confidence: high.",high,Mirjana Spoljaric Egger,True
International Conference of Asian Political Parties,Jose de Venecia,Jose de Venecia,"Answer: Jose de Venecia Jr., Confidence: high.",high,Jose de Venecia Jr.,False
International Correspondence Chess Federation,Eric Ruch,Eric Ruch,"Answer: Mednis, A., Confidence: High.",High,"Mednis, A.",False
International Court of Justice,President of the International Court of Justice,Joan Donoghue,"I don't have access to real-time information and my knowledge cutoff is March 2023. As of my knowledge cutoff in 2023, the President of the International Court of Justice was Joan E. Donoghue. However, please note that this information may not be up-to-date.

Answer: Joan E. Donoghue, Confidence: low",low,Joan E. Donoghue,False
International Criminal Court,President of the International Criminal Court,Tomoko Akane,"Answer: Piotr Hofmański, Confidence: High.",High,Piotr Hofmański,False
International Criminal Tribunal for the former Yugoslavia,Theodor Meron,Theodor Meron,"Answer: Serge Brammertz, Confidence: high.",high,Serge Brammertz,False
International Federation of American Football,Tommy Wiking,Tommy Wiking,"I couldn't find any information about the current leader of the International Federation of American Football. 

Answer: Not Found 
Confidence: Low",Low,Not Found,False
International Federation of Landscape Architects,Geoffrey Jellicoe,Geoffrey Jellicoe,I don't have access to a search engine to provide information on the current leader of the International Federation of Landscape Architects.,,,False
International Federation of Language Teacher Associations,Charles Boulanger,Charles Boulanger,"I don't have access to real-time information or updates on specific organizations and their leadership. My training data only goes up until 2021, so I may not have the most recent information.

However, as of my knowledge cutoff in 2021, I couldn't find any information about the current leader of International Federation of Language Teacher Associations (FIPLV). It's possible that this organization is no longer active or has undergone changes since my training data was last updated.",,,False
International Federation of Library Associations and Institutions,Christine Deschamps,Christine Deschamps,"Answer: Barbara Lison, Confidence: medium.",medium,Barbara Lison,False
International Federation of Red Cross and Red Crescent Societies,Kate Forbes,Kate Forbes,"Answer: Jagan Chapagain, Confidence: high",high,Jagan Chapagain,False
International Federation of Sport Climbing,Marco Maria Scolaris,Marco Maria Scolaris,"Answer: Marco Scolaris, Confidence: high.",high,Marco Scolaris,True
International Federation of Sports Medicine,Fabio Pigozzi,Fabio Pigozzi,"I don't have access to real-time information and my knowledge stopped in 2023. However, as of my cut-off date, I do not have information on the current leadership of the International Federation of Sports Medicine (FIMS). For the most accurate and up-to-date information, please refer to FIMS' official website or contact them directly.

Answer: Not Available, Confidence: Low",Low,Not Available,False
International Fencing Federation,Emmanuel Katsiadakis,Emmanuel Katsiadakis,"Answer: Emmanuel Katsaridis, Confidence: high.",high,Emmanuel Katsaridis,False
International Gymnastics Federation,Morinari Watanabe,Morinari Watanabe,Morinari Watanabe,,,False
International Judo Federation,Marius Vizer,Marius Vizer,"Answer: Marius Vizer, Confidence: High.",High,Marius Vizer,True
International Liaison Committee for Reunification and Peace of Korea International,Ali Musa-Kabia,Ali Musa-Kabia,I don't have access to a search engine to provide information about the current leader of the International Liaison Committee for Reunification and Peace of Korea.,,,False
International Luxembourg Forum on Preventing Nuclear Catastrophe,Viatcheslav Moshe Kantor,Viatcheslav Moshe Kantor,"Answer: Vladimir Dvorkin, Confidence: medium.",medium,Vladimir Dvorkin,
International Maritime Organization,Secretary-General of the International Maritime Organization,Arsenio Antonio Dominguez Velasco,"Kitack Lim, Confidence: High.",High,,False
International Mathematical Union,Carlos Kenig,Carlos Kenig,"Answer: Carlos E. Kenig, Confidence: high",high,Carlos E. Kenig,False
International Mineralogical Association,Peter C. Burns,Peter C. Burns,I am unable to verify who the current leader of the International Mineralogical Association is.,,,False
International National Trusts Organisation,Simon Molesworth,Simon Molesworth,"Answer: Not Found, Confidence: Low.",Low,Not Found,False
International Network for Government Science Advice,Rémi Quirion,Rémi Quirion,Peter Gluckman,,,False
International Olympic Committee,president of the International Olympic Committee,Kirsty Coventry,Thomas Bach,,,False
International Organisation of Vine and Wine,Yvette van der Merwe,Yvette van der Merwe,"Answer: Pau Roca, Confidence: High.",High,Pau Roca,False
International Paralympic Committee,Andrew Parsons,Andrew Parsons,"Andrew Parsons, Confidence: High",High,,False
International Radiation Protection Association,Bernard Le Guen,Bernard Le Guen,I don't have access to a search engine to provide information on the current leader of International Radiation Protection Association.,,,
International Renewable Energy Agency,Francesco La Camera,Francesco La Camera,"Answer: Francesco La Camera, Confidence: High.",High,Francesco La Camera,True
International Science Council,B. Daya Reddy,B. Daya Reddy,"Answer: Peter Gluckman, Confidence: high.",high,Peter Gluckman,False
International Skating Union,Kim Jae-youl,Kim Jae-youl,Jan Dijkema,,,False
International Ski and Snowboard Federation,Johan Eliasch,Johan Eliasch,I'm sorry but I do not have access to a search engine so I am unable to provide information on who the current leader of International Ski and Snowboard Federation is.,,,False
International Society for Plant Pathology,Jan E Leach,Jan E Leach,"I don't have access to real-time information and updates on specific organizations. The leadership of the International Society for Plant Pathology may change over time, and I cannot guarantee the accuracy of my response based on my last update.

However, as of my knowledge cutoff in 2023, the President of the International Society for Plant Pathology was Dr. Sarah Gurr. Please note that this information might not be up-to-date or accurate as of now.

Answer: Dr. Sarah Gurr, Confidence: low",low,Dr. Sarah Gurr,False
International Society of the New Patrons,Alexander Koch,Alexander Koch,I do not have access to a search engine to provide details about the current leader of International Society of the New Patrons.,,,
International Softball Federation,President of the International Softball Federation,Gerry Snyder,"Answer: Dale McMann, Confidence: high.",high,Dale McMann,False
International Table Hockey Federation,Bjarne Axelsen,Bjarne Axelsen,"I couldn't find any information about the ""International Table Hockey Federation"". However, I did find that the International Table Tennis Federation (ITTF) is a real organization. 

If you are referring to the ITTF, then the answer would be:

Answer: Petra Sörling 
Confidence: Medium",Medium,Petra Sörling,
International Table Tennis Federation,Thomas Weikert,Thomas Weikert,I don't have information about the current leadership of the ITTF.,,,False
International Tribunal for the Law of the Sea,Jin-Hyun Paik,Jin-Hyun Paik,"Answer: Judge Jin-Hyun Paik, Confidence: high.",high,Judge Jin-Hyun Paik,False
International Union for Conservation of Nature,Razan Khalifa Al Mubarak,Razan Khalifa Al Mubarak,"Answer: Bruno Oberle, Confidence: High.",High,Bruno Oberle,False
International Union of Catholic Esperantists,Francisko de Paul Meštan,Francisko de Paul Meštan,"I don't have access to real-time data and updates. However, as of my last update in April 2023, I couldn't find specific information on the current leader of the International Union of Catholic Esperantists (Internacia Unuiĝo Katolika Esperantista). My knowledge may not be up-to-date or accurate for this query.

Answer: Not Available
Confidence: Low",Low,Not Available,False
International Union of Prehistoric and Protohistoric Sciences,Jacek Kabaciński,Jacek Kabaciński,"Answer: Not Found, Confidence: Low.",Low,Not Found,
International Union of Pure and Applied Physics,Michel Spiro,Michel Spiro,"I don't have access to a search engine to provide real-time information. However, I can suggest some alternatives for you to find the most recent information.

You can visit the official website of the International Union of Pure and Applied Physics (IUPAP) at [www.iupap.org](http://www.iupap.org). They may have an updated list of their current leadership, including the president or secretary-general.

Alternatively, you can search for news articles or press releases from reputable scientific organizations or physics journals that may mention the current leader of IUPAP.",,,False
International Wheelchair Basketball Federation,Ulf Mehrens,Ulf Mehrens,I'm sorry but I am unable to verify the current leader.,,,False
Jenkins Commission,Roy Jenkins,Roy Jenkins,"I'm not aware of any information about a ""Jenkins Commission"" or its current leader. If you could provide more context or clarify what you are referring to, I'd be happy to try and help further.

Answer: Unknown, Confidence: Low",Low,Unknown,
Juncker Commission,Jean-Claude Juncker,Jean-Claude Juncker,"Answer: Jean-Claude Juncker, Confidence: High.",High,Jean-Claude Juncker,
Le Stelle di Marisa (Fondazione),Daniela Ferolla,Daniela Ferolla,"I'm not aware of any information about a current leader of ""Le Stelle di Marisa"" (also known as Fondazione). This organization does not appear to be well-known or widely reported on, so I do not have enough information to provide an accurate answer.",,,False
League of Nations,Secretary-General of the League of Nations,Seán Lester,"The League of Nations was dissolved in 1946 and replaced by the United Nations. Therefore, there is no current leader of the League of Nations.

Answer: There is no current leader, Confidence: High",High,There is no current leader,False
League of the Islanders,Nesiarch,Nesiarch,"I don't have access to real-time information and my knowledge cutoff is March 2023. As of my knowledge cutoff in 2023, I couldn't find any information on the ""League of the Islanders"" or its current leader. It's possible that this organization does not exist or is a fictional entity.

Answer: Not Found, Confidence: Low",Low,Not Found,
Lutheran World Federation,General Secretary of the Lutheran World Federation,Anne Burghardt,"Answer: Anna Schmidt, Confidence: low.",low,Anna Schmidt,False
Marín Commission,Manuel Marín,Manuel Marín,"Answer: Ursula von der Leyen, Confidence: High.",High,Ursula von der Leyen,
Mensa International,Bibiána Balanyi,Bibiána Balanyi,"I don't have access to real-time information or updates on specific individuals' roles within organizations. However, I can suggest some alternatives to find the most recent and accurate answer:

1. Check the official website of Mensa International for the latest leadership information.
2. Look for news articles or press releases from reputable sources that may mention the current leader of Mensa International.

By doing so, you should be able to find the most up-to-date and accurate information on who is currently leading Mensa International.",,"1. Check the official website of Mensa International for the latest leadership information.
2. Look for news articles or press releases from reputable sources that may mention the current leader of Mensa International.

By doing so, you should be able to find the most up-to-date and accurate information on who is currently leading Mensa International.",
Mercosur,Mercosur Pro Tempore Presidency,Mario Abdo Benítez,"I don't have access to real-time information or updates after my last training data cut-off in early 2023. As a result, I cannot provide the name of the current leader of Mercosur as it may have changed since then.

Answer: Not Available, Confidence: Low",Low,Not Available,False
Moroccan Youth Council for Diplomatic and International Cooperation,Moataz Kobry,Moataz Kobry,I couldn't find any information on the current leader of the Moroccan Youth Council for Diplomatic and International Cooperation.,,,
Multilateral Investment Guarantee Agency,Keiko Honda,Keiko Honda,"Answer: Hiroshi Matano, Confidence: High.",High,Hiroshi Matano,True
Muslim Brotherhood,General Guide of the Muslim Brotherhood,Mohammed Badie,I can’t provide real-time information or updates.,,,False
Médecins du Monde,Claude Moncorgé,Claude Moncorgé,I don't have access to real-time information and cannot provide the current leader of Médecins du Monde. Is there anything else I can help you with?,,,False
NATO,Secretary General of NATO,Mark Rutte,"Answer: Jens Stoltenberg, Confidence: High.",High,Jens Stoltenberg,
New Acropolis,Delia Steinberg Guzmán,Delia Steinberg Guzmán,"I'm not aware of any information about a place called ""New Acropolis"" or its leadership. Could you provide more context or clarify which New Acropolis you are referring to?",,,False
New Development Bank,Dilma Rousseff,Dilma Rousseff,"Answer: Marcos Troyjo, Confidence: high.",high,Marcos Troyjo,False
Non-Aligned Movement,Nicolás Maduro,Nicolás Maduro,"Answer: Ilham Aliyev, Confidence: high.",high,Ilham Aliyev,False
Oceania Continent Handball Federation,Ricardo Blas,Ricardo Blas,"Answer: Not Available, Confidence: low.",low,Not Available,
Oceania Football Confederation,Lambert Maltock,Lambert Maltock,"Lambert Malto, Confidence: High",High,,False
Office of the High Commissioner for Human Rights,United Nations High Commissioner for Human Rights,Volker Türk,"Answer: Volker Türk, Confidence: high.",high,Volker Türk,True
Open Door International for the Economic Emancipation of the Woman Worker,Chrystal Macmillan,Chrystal Macmillan,"I'm not aware of the current leader of Open Door International for the Economic Emancipation of the Woman Worker. My training data does not contain up-to-date information on this specific topic.

Answer: Not Available, Confidence: Low",Low,Not Available,
Organisation of Islamic Cooperation,Hissein Brahim Sem Taha,Hissein Brahim Sem Taha,"Answer: Hissein Brahim Taha, Confidence: High.",High,Hissein Brahim Taha,True
Organization for Cooperation of Railways,Tadeusz Szozda,Tadeusz Szozda,"Answer: Ömer Yıldız, Confidence: high.",high,Ömer Yıldız,False
Organization of American States,General Secretariat of the Organization of American States,Luis Almagro,"Answer: Luis Almagro, Confidence: High",High,Luis Almagro,False
PEN International,Jennifer Clement,Jennifer Clement,"Answer: Jennifer Clement, Confidence: medium.",medium,Jennifer Clement,False
Pan American Health Organization,Carissa Etienne,Carissa Etienne,"Answer: Carissa F. Etienne, Confidence: High",High,Carissa F. Etienne,False
Pan-American Rugby Association,Agustín Pichot,Agustín Pichot,"Answer: Dan Payne, Confidence: High.",High,Dan Payne,False
Panam Sports,Neven Ilic Álvarez,Neven Ilic Álvarez,"Answer: Neven Ilic, Confidence: high.",high,Neven Ilic,True
Parliamentary Assembly of Turkic States,Oral Muchamedschanow,Oral Muchamedschanow,"Answer: Márton Gyöngyösi, Confidence: medium",medium,Márton Gyöngyösi,False
Parliamentary Assembly of the Council of Europe,Theodoros Roussopoulos,Theodoros Roussopoulos,"Answer: Tiny Kox, Confidence: high.",high,Tiny Kox,False
Parliamentary Assembly of the Organization for Security and Co-operation in Europe,Pia Kauma,Pia Kauma,"Answer: Margareta Kiener Nellen, Confidence: medium",medium,Margareta Kiener Nellen,False
Patriots for Europe,Jordan Bardella,Jordan Bardella,I don't have access to a search engine to provide information on the current leader of Patriots for Europe.,,,False
Plazi,Donat Agosti,Donat Agosti,I'm not familiar with Plazi or its leadership. Can you provide more context or clarify which Plazi you are referring to? I'll do my best to find the correct information for you.,,,
Pro-Natura International,Guy Reinaud,Guy Reinaud,"Answer: Not found, Confidence: Low.",Low,Not found,False
Prodi Commission,Romano Prodi,Romano Prodi,"I don't have information about a ""Prodi Commission"" or its current leader. Can you provide more context or clarify which organization or entity you are referring to?",,,
Profintern,Solomon Lozovsky,Solomon Lozovsky,"I don't have access to real-time information and updates about specific organizations like Profintern. My training data only goes up until 2023, and I may not have the most current details on leadership positions.

However, as of my last update in 2023, I couldn't find any specific information on who the leader of Profintern is or was at that time. If you're looking for the most current information, I recommend checking directly with official sources or recent news updates related to Profintern.

Answer: Unknown, Confidence: Low",Low,Unknown,
Progressive Alliance of Socialists and Democrats,Iratxe García,Iratxe García,I'm not sure about the current leader of the Progressive Alliance of Socialists and Democrats.,,,False
Pueri Cantores,Jean Henric,Jean Henric,"I'm not aware of any information that would indicate a specific ""current leader"" of Pueri Cantores. The organization is international and has various chapters around the world, each potentially with its own leadership structure.

Answer: Unknown, Confidence: Low",Low,Unknown,
RINGS - The International Research Association of Institutions of Advanced Gender Studies,Deevia Bhana,Deevia Bhana,"I don't have access to real-time information or specific details about the current leadership of RINGS. My training data may not include the most recent updates on this topic.

Answer: Not available, Confidence: low.",low,Not available,
Renew Europe,Valérie Hayer,Valérie Hayer,"Answer: Stéphane Séjourné, Confidence: high.",high,Stéphane Séjourné,False
Rotary International,Gordon McInally,Gordon McInally,Shekhar Mehta,,,False
Rugby Europe,Janhein Pieterse,Janhein Pieterse,"Octavian Morariu, Confidence: High",High,,False
Réseau francophone international en conseil scientifique,Mathieu Ouimet,Mathieu Ouimet,I am not aware of the current leader of Réseau francophone international en conseil scientifique.,,,
Santer Commission,Jacques Santer,Jacques Santer,"Answer: Not Applicable, Confidence: High. 

Note: The Santer Commission was a European Commission that served from 1995 to 1999, led by Jacques Santer. Since it is no longer active, there is no current leader.",High,Not Applicable,
Socialist Group,Pierre-Olivier Lapie,Pierre-Olivier Lapie,"I don't have access to real-time information. However, as of my last update in 2023, I do not have specific details on the current leadership of the Socialist Group. Leadership positions can change frequently due to elections and other political shifts.

Answer: Not Available, Confidence: Low",Low,Not Available,
Socialist Group in the European Parliament,Martin Schulz,Martin Schulz,"Answer: Iratxe García Pérez, Confidence: high.",high,Iratxe García Pérez,True
Sunni Students Council,Shafi Bin Khalid,Shafi Bin Khalid,I don't have information about the current leader of Sunni Students Council.,,,
Symposium of Episcopal Conferences of Africa and Madagascar,Fridolin Ambongo Besungu,Fridolin Ambongo Besungu,"Answer: Not available, Confidence: low.",low,Not available,False
The Green Group in the European Parliament,Alexander Langer,Alexander Langer,"Answer: Philippe Lamberts and Ska Keller, Confidence: high.",high,Philippe Lamberts and Ska Keller,False
The Greens–European Free Alliance,Terry Reintke,Terry Reintke,"Answer: Philippe Lamberts and Ska Keller, Confidence: high.",high,Philippe Lamberts and Ska Keller,False
The Left in the European Parliament - GUE/NGL,Manon Aubry,Manon Aubry,"Answer: Manon Aubry and Martin Schirdewan (co-chairs), Confidence: high.",high,Manon Aubry and Martin Schirdewan (co-chairs),True
Thorn Commission,Gaston Thorn,Gaston Thorn,I don't have access to a search engine to provide information about the current leader of the Thorn Commission.,,,
Transparency International,François Valérian,François Valérian,"Answer: Daniel Eriksson, Confidence: High.",High,Daniel Eriksson,
Turkic Academy,Shahin Mustafayev,Shahin Mustafayev,"I don't have access to a search engine to provide real-time information. However, as of my last update in April 2023, I couldn't find specific information on the current leader of the Turkic Academy. Leadership positions can change frequently, and without up-to-date sources, it's challenging to provide an accurate answer.

Answer: Not Available, Confidence: Low",Low,Not Available,False
Turkic Culture and Heritage Foundation,Aqtoty Raiymqulova,Aqtoty Raiymqulova,"Answer: Darkhan Kydyrali, Confidence: high.",high,Darkhan Kydyrali,False
UCLG Middle East and West Asia,Fatma Şahin,Fatma Şahin,"Answer: Mohamed Saadieh, Mayor of Mafraq Municipality, Jordan, Confidence: medium.",medium,"Mohamed Saadieh, Mayor of Mafraq Municipality, Jordan",
UNIAPAC,Sigrid Marz,Sigrid Marz,"Answer: Pradeep K. Jhawar, Confidence: medium",medium,Pradeep K. Jhawar,False
UNICEF,Executive Director of UNICEF,Henrietta H. Fore,"Answer: Catherine M. Russell, Confidence: high",high,Catherine M. Russell,True
Union Cycliste Internationale,David Lappartient,David Lappartient,David Lappartient,,,False
Union Internationale des Fédérations des Amateurs de Billard,Charles Faroux,Charles Faroux,"The current president of the Union Mondiale de Billard (UMB) is Farouk Barki, but I do not have information on whether this has changed.",,,
Union of European Football Associations,Aleksander Čeferin,Aleksander Čeferin,Aleksander Čeferin,,,False
Union of Kansai Governments,Yoshinobu Nisaka,Yoshinobu Nisaka,I don't have information on the current leader of the Union of Kansai Governments.,,,
United Cities and Local Governments of Africa,Khalifa Sall,Khalifa Sall,"Answer: Christine Mhende Musisi, Confidence: medium.",medium,Christine Mhende Musisi,False
United Nations,United Nations Secretary-General,António Guterres,"António Guterres, Confidence: high.",high,,False
United Nations General Assembly,President of the United Nations General Assembly,Dennis Francis,"Answer: Csaba Kőrösi, Confidence: high.",high,Csaba Kőrösi,
United Nations Group of Experts on Geographical Names,Helen Kerfoot,Helen Kerfoot,I do not have access to a search engine to provide information about the current leader of the United Nations Group of Experts on Geographical Names.,,,False
United Nations Office for the Coordination of Humanitarian Affairs,Under-Secretary-General for Humanitarian Affairs and Emergency Relief Coordinator,Mark Lowcock,"Martin Griffiths, Confidence: high.",high,,
United Nations Office on Sport for Development and Peace,Wilfried Lemke,Wilfried Lemke,"Answer: Wilfried Lemke, Confidence: medium.",medium,Wilfried Lemke,
United Nations Secretariat,United Nations Secretary-General,António Guterres,"António Guterres 
Confidence: High",High,,False
Universal Love and Brotherhood Association,Onisaburo Deguchi,Onisaburo Deguchi,I don't have access to a search engine to provide information about the current leader of the Universal Love and Brotherhood Association.,,,False
West Asian Football Federation,Prince Ali bin Al-Hussein of Jordan,Prince Ali bin Al-Hussein of Jordan,"Answer: Ali Kafashian, Confidence: High.",High,Ali Kafashian,False
Women's Forum for the Economy and Society,Anne-Gabrielle Heilbronner,Anne-Gabrielle Heilbronner,"Answer: Chiara Corazza, Confidence: high.",high,Chiara Corazza,False
Women's International Democratic Federation,Freda Brown,Freda Brown,I don't have access to a search engine to provide information on the current leader of the Women's International Democratic Federation.,,,False
Women's International League for Peace and Freedom,Sylvie Jacqueline Ndongmo,Sylvie Jacqueline Ndongmo,I am unable to verify who the current leader of WILPF is.,,,
World Aquatics,Husain Al-Musallam,Husain Al-Musallam,"Answer: Husain Al-Musallam, Confidence: High.",High,Husain Al-Musallam,True
World Bank,Ajaypal Singh Banga,Ajaypal Singh Banga,"David Malpass, Confidence: High.",High,,False
World Brotherhood Federation,John Clifford,John Clifford,"I don't have access to real-time information and specific data about certain organizations. However, I can suggest some alternatives to find the answer.

You can try searching for the official website or social media pages of the World Brotherhood Federation to see if they have announced their current leader. Alternatively, you can also try contacting them directly through their contact page or email address.

If you have any other questions or need help with something else, feel free to ask!",,,
World Confederation of Billiards Sports,Ian Anderson,Ian Anderson,I do not have access to a search engine to provide information on the current leader of the World Confederation of Billiards Sports.,,,False
World Constitution and Parliament Association,Sam Pitroda,Sam Pitroda,I'm not aware of the current leader of the World Constitution and Parliament Association as my information might be outdated or incomplete.,,,False
World Federation of United Nations Associations,Park Soo-gil,Park Soo-gil,"Answer: Not Found, Confidence: low.",low,Not Found,False
World Food Programme,Cindy McCain,Cindy McCain,"Answer: David Beasley, Confidence: High.",High,David Beasley,False
World Heart Federation,Daniel José Piñeiro,Daniel José Piñeiro,"I don't have access to real-time information and updates. However, as of my last update in April 2023, I do not have specific information on who the current leader of the World Heart Federation is.

Answer: Not Available, Confidence: Low",Low,Not Available,
World Jewish Congress,Ronald Lauder,Ronald Lauder,"Answer: Ronald Lauder, Confidence: High",High,Ronald Lauder,True
World League for Freedom and Democracy,Zhao Ziqi,Zhao Ziqi,"I'm not aware of the current leader of the World League for Freedom and Democracy. My knowledge may be outdated or incomplete in this regard.

Answer: Not Available, Confidence: Low.",Low,Not Available,False
World Mountain Running Association,Jonathan Wyatt,Jonathan Wyatt,"Answer: Jonathan Wyatt, Confidence: medium.",medium,Jonathan Wyatt,False
World Peace Council,Socorro Gomes,Socorro Gomes,"I don't have access to real-time information. However, as of my knowledge cutoff in 2023, the President of the World Peace Council was Iraklis Tsavdaridis. Please note that this information may be outdated.

Answer: Iraklis Tsavdaridis, Confidence: medium",medium,Iraklis Tsavdaridis,
World Rowing,president of the International Rowing Federation,Jean-Christophe Rolland,Jean-Christophe Rolland,,,False
World Rugby,Brett Robinson,Brett Robinson,"Answer: Bill Beaumont, Confidence: high.",high,Bill Beaumont,False
World Sailing,Quanhai Li,Quanhai Li,"Answer: Quanhai Li, Confidence: Medium.",Medium,Quanhai Li,True
World Snooker Federation,Jason Ferguson,Jason Ferguson,"I don't have access to real-time information. However, as of my last update in April 2023, Jason Ferguson was the chairman of the World Professional Billiards and Snooker Association (WPBSA), which oversees professional snooker globally. Please note that leadership positions can change over time.

Answer: Jason Ferguson, Confidence: medium",medium,Jason Ferguson,True
World Trade Organization,Director-General of the World Trade Organization,Ngozi Okonjo-Iweala,"Answer: Ngozi Okonjo-Iweala, Confidence: high.",high,Ngozi Okonjo-Iweala,True
World Union,Mirra Alfassa,Mirra Alfassa,"Answer: There is no such organization as the ""World Union"" with a single leader., Confidence: high.",high,"There is no such organization as the ""World Union"" with a single leader.",
World Uyghur Congress,Dolkun Isa,Dolkun Isa,"Dolkun Isa, Confidence: High",High,,False
World Wide Fund for Nature,Adil Najam,Adil Najam,"I don't have access to real-time information and my knowledge cutoff is March 2023. As of my knowledge cutoff in 2023, Pavan Sukhdev was the President of WWF International. However, please note that leadership positions can change over time, and I may not have the most up-to-date information.

Answer: Pavan Sukhdev, Confidence: low",low,Pavan Sukhdev,False
World Women’s Snooker,Mandy Fisher,Mandy Fisher,"Mandy Fisher, but now it's Mink Nutcharut",,,
World Zionist Organization,Yaakov Hagoel,Yaakov Hagoel,"Answer: Yaakov Hagoel, Confidence: high.",high,Yaakov Hagoel,False
World Baseball Softball Confederation,Riccardo Fraccari,Riccardo Fraccari,"Riccardo Fraccari, Confidence: high.",high,,False
